# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  12 0.115 20.718 810.716
  13 0.125 19.57 808.932
  14 0.135 19.768 818.382
  15 0.145 20.648 877.992
  16 0.155 21.642 837.887
  17 0.165 21.95 837.386
  18 0.175 21.964 797.803
  19 0.185 21.912 840.627
  20 0.195 21.686 854.222
  21 0.205 21.54 885.586
  22 0.215 21.566 879.295
  23 0.225 21.456 913.34
  24 0.235 20.932 987.98
  25 0.245 19.914 1004.25
  26 0.255 19.134 1001.19
  27 0.265 19.458 1014.75
  28 0.275 20.644 996.329
  29 0.285 21.376 964.745
  30 0.295 21.462 930.111
  31 0.305 21.548 936.583
  32 0.315 21.688 891.807
  33 0.325 21.85 941.048
  34 0.335 21.92 991.14
  35 0.345 21.892 1015.41
  36 0.355 21.522 969.687
  37 0.365 20.664 991.899
  38 0.375 19.752 967.037
  39 0.385 19.654 944.942
  40 0.395 20.91 943.905
  41 0.405 21.614 939.929
  42 0.415 21.962 891.575
  43 0.425 21.844 892.5
  44 0.435 21.976 944.245
  45 0.445 21.528 951.825
  46 0.455 21.612 1002
  47 0.465 21.446 975.605
  48 0.475 21.332 976.801
  49 0.485 20.664 1014.82
  50 0.495 19.282 1079.28
  51 0.505 19.056 1083.63
  52 0.515 19.952 1079.47
  53 0.525 21.158 1084.29
  54 0.535 21.334 1078.63
  55 0.545 21.512 1095.43
  56 0.555 21.658 1063.18
  57 0.565 21.836 1108.38
  58 0.575 21.854 1080.74
  59 0.585 21.88 1094.03
  60 0.595 21.482 1049.76
  61 0.605 20.458 1051.49
  62 0.615 19.492 1012.72
  63 0.625 19.936 937.712
  64 0.635 21.026 951.77
  65 0.645 21.716 955.74
  66 0.655 21.946 901.947
  67 0.665 21.908 971.208
  68 0.675 21.758 937
  69 0.685 21.688 949.924
  70 0.695 21.562 898.026
  71 0.705 21.398 901.733
  72 0.715 21.292 913.391
  73 0.725 20.478 892.446
  74 0.735 19.374 897.108
  75 0.745 19.186 903.368
  76 0.755 20.084 899.681
  77 0.765 21.264 882.977
  78 0.775 21.348 861.673
  79 0.785 21.436 846.369
  80 0.795 21.68 827.067
  81 0.805 21.732 825.614
  82 0.815 21.886 844.822
  83 0.825 21.944 829.019
  84 0.835 21.94 824.717
  85 0.845 21.706 805.494
  86 0.855 20.95 799.089
  87 0.865 19.818 836.884
  88 0.875 19.316 830.947
  89 0.885 20.634 809.101
  90 0.895 21.7 827.716
  91 0.905 21.944 840.986
  92 0.915 21.94 836.021
  93 0.925 21.868 870.991
  94 0.935 21.802 872.509
  95 0.945 21.508 884.083
  96 0.955 21.54 856.666
  97 0.965 21.468 818.263
  98 0.975 21.2 816.533
  99 0.985 20.402 827.577
  100 0.995 19.04 829.968
65000 100 2112.0000000000005
  1 0.005 19.208 819.971
  2 0.015 20.34 754.016
  3 0.025 21.372 765.424
  4 0.035 21.466 764.141
  5 0.045 21.456 773.271
  6 0.055 21.614 801.143
  7 0.065 21.738 823.715
  8 0.075 21.854 813.686
  9 0.085 21.986 806.929
  10 0.095 21.988 813.614
  11 0.105 21.686 825.419
  12 0.115 21.25 807.102
  13 0.125 19.602 820.826
  14 0.135 19.546 787.123
  15 0.145 20.554 853.622
  16 0.155 21.542 886.985
  17 0.165 21.8 932.307
  18 0.175 21.96 929.995
  19 0.185 21.858 947.656
  20 0.195 21.766 969.593
  21 0.205 21.504 925.517
  22 0.215 21.468 959.866
  23 0.225 21.388 901.536
  24 0.235 21.124 911.367
  25 0.245 19.88 863.642
  26 0.255 19.14 871.714
  27 0.265 19.608 910.422
  28 0.275 20.604 864.837
  29 0.285 21.412 885.915
  30 0.295 21.386 880.419
  31 0.305 21.534 917.673
  32 0.315 21.66 923.172
  33 0.325 21.83 916.101
