# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2111.9999999999995
  43 0.425 21.986 686.399
  44 0.435 21.818 690.494
  45 0.445 21.686 719.27
  46 0.455 21.458 713.97
  47 0.465 21.394 702.909
  48 0.475 21.3 716.146
  49 0.485 20.434 660.949
  50 0.495 19.144 686.493
  51 0.505 19.072 731.15
  52 0.515 20.188 807.07
  53 0.525 21.238 767.738
  54 0.535 21.446 798.949
  55 0.545 21.392 805.013
  56 0.555 21.712 791.561
  57 0.565 21.772 754.108
  58 0.575 21.956 729.081
  59 0.585 21.936 721.493
  60 0.595 21.636 730.784
  61 0.605 20.354 735.671
  62 0.615 19.396 686.067
  63 0.625 19.838 648.082
  64 0.635 21.076 668.833
  65 0.645 21.778 685.618
  66 0.655 21.968 649.765
  67 0.665 21.998 644.054
  68 0.675 21.738 646.085
  69 0.685 21.598 626.379
  70 0.695 21.506 645.581
  71 0.705 21.394 636.362
  72 0.715 21.494 639.138
  73 0.725 20.734 580.838
  74 0.735 19.116 594.368
  75 0.745 18.518 602.553
  76 0.755 20.308 607.518
  77 0.765 21.428 619.177
  78 0.775 21.556 566.679
  79 0.785 21.472 562.855
  80 0.795 21.494 586.778
  81 0.805 21.774 593.497
  82 0.815 21.908 586.627
  83 0.825 21.986 583.843
  84 0.835 21.976 615.751
  85 0.845 21.684 591.624
  86 0.855 20.846 573.917
  87 0.865 19.082 553.654
  88 0.875 19.65 555.615
  89 0.885 20.88 582.052
  90 0.895 21.9 580.959
  91 0.905 21.976 541.217
  92 0.915 21.986 515.662
  93 0.925 21.922 529.572
  94 0.935 21.796 507.333
  95 0.945 21.47 510.74
  96 0.955 21.396 525.157
  97 0.965 21.614 503.594
  98 0.975 21.392 523.013
  99 0.985 20.414 522.879
  100 0.995 18.97 512.059
70000 100 2111.9999999999995
  1 0.005 19.088 465.121
  2 0.015 20.572 456.52
  3 0.025 21.492 484.16
  4 0.035 21.49 463.424
  5 0.045 21.534 496.846
  6 0.055 21.47 502.214
  7 0.065 21.742 515.742
  8 0.075 21.92 502.504
  9 0.085 21.996 502.488
  10 0.095 21.976 507.475
  11 0.105 21.782 508.756
  12 0.115 21.152 525.718
  13 0.125 19.938 535.05
  14 0.135 19.25 537.802
  15 0.145 20.582 583.402
  16 0.155 21.45 599.177
  17 0.165 21.86 600.024
  18 0.175 21.958 614.549
  19 0.185 21.964 600.564
  20 0.195 21.782 603.409
  21 0.205 21.558 617.284
  22 0.215 21.366 643.549
  23 0.225 21.534 594.853
  24 0.235 21.388 612.135
  25 0.245 20.268 586.835
  26 0.255 18.568 603.666
  27 0.265 18.882 595.627
  28 0.275 20.906 606.812
  29 0.285 21.524 647.009
  30 0.295 21.322 615.855
  31 0.305 21.388 627.799
  32 0.315 21.764 600.694
  33 0.325 21.874 612.787
  34 0.335 22.002 620.45
  35 0.345 21.924 633.9
  36 0.355 21.79 615.775
  37 0.365 20.764 662.943
  38 0.375 19.432 687.031
  39 0.385 19.554 695.321
  40 0.395 20.868 662.226
  41 0.405 21.67 640.945
  42 0.415 21.932 643.017
  43 0.425 21.956 676.071
  44 0.435 21.784 704.663
  45 0.445 21.704 685.76
  46 0.455 21.448 690.519
  47 0.465 21.486 748.829
  48 0.475 21.24 783.041
  49 0.485 20.182 782.788
  50 0.495 19.194 792.577
  51 0.505 19.054 770.56
  52 0.515 20.296 778.975
  53 0.525 21.368 732.143
  54 0.535 21.464 717.75
  55 0.545 21.454 709.741
  56 0.555 21.624 721.908
  57 0.565 21.776 698.657
  58 0.575 22.03 708.421
  59 0.585 21.85 721.357
  60 0.595 21.758 683.031
  61 0.605 20.896 675.836
  62 0.615 19.356 666.857
  63 0.625 19.49 654.936
  64 0.635 21.024 637.74
  65 0.645 21.642 668.788
  66 0.655 21.93 691.668
  67 0.665 21.982 673.546
  68 0.675 21.816 677.101
  69 0.685 21.654 656.92
  70 0.695 21.432 632.528
  71 0.705 21.44 623.328
  72 0.715 21.604 609.462
  73 0.725 20.79 595.736
  74 0.735 19.354 597.751
  75 0.745 18.508 594.725
  76 0.755 20.04 620.759
  77 0.765 21.25 611.059
  78 0.775 21.7 594.152
  79 0.785 21.294 629.405
  80 0.795 21.584 613.349
  81 0.805 21.658 620.992
  82 0.815 21.952 612.802
  83 0.825 21.952 613.734
  84 0.835 21.948 588.519
  85 0.845 21.676 571.13
  86 0.855 20.602 586.043
  87 0.865 19.288 584.43
  88 0.875 19.734 578.933
  89 0.885 20.866 568.517
  90 0.895 21.9 534.202
  91 0.905 21.986 553.818
  92 0.915 21.966 559.565
  93 0.925 21.892 511.874
  94 0.935 21.79 488.769
  95 0.945 21.57 491.364
  96 0.955 21.382 513.708
  97 0.965 21.536 520.935
  98 0.975 21.388 522.525
  99 0.985 20.176 497.303
  100 0.995 19.008 462.045
75000 100 2112.0000000000005
  1 0.005 19.18 482.177
  2 0.015 20.608 464.376
  3 0.025 21.318 479.596
  4 0.035 21.536 473.204
  5 0.045 21.398 474.704
  6 0.055 21.68 499.291
  7 0.065 21.652 489.215
  8 0.075 21.97 496.741
  9 0.085 21.938 508.192
  10 0.095 21.932 512.426
  11 0.105 21.606 500.059
  12 0.115 20.62 530.774
  13 0.125 19.962 539.445
  14 0.135 19.842 550.466
  15 0.145 20.5 565.688
  16 0.155 21.646 556.524
  17 0.165 21.914 599.321
  18 0.175 21.94 582.739
  19 0.185 21.912 576.92
  20 0.195 21.7 568.904
  21 0.205 21.554 619.738
  22 0.215 21.44 624.379
  23 0.225 21.47 659.407
  24 0.235 21.06 677.498
  25 0.245 20.034 686.06
  26 0.255 18.402 661.75
  27 0.265 19.452 633.449
  28 0.275 21.016 628.741
  29 0.285 21.64 616.657
  30 0.295 21.398 626.402
  31 0.305 21.458 605.612
  32 0.315 21.62 629.361
  33 0.325 21.888 606.128
  34 0.335 21.998 576.289
  35 0.345 21.97 590.388
  36 0.355 21.836 635.868
  37 0.365 21.068 631.755
  38 0.375 19.698 675.995
  39 0.385 19.546 688.609
  40 0.395 20.534 678.385
  41 0.405 21.392 679.329
  42 0.415 21.956 663.974
  43 0.425 21.922 677.622
  44 0.435 21.834 702.215
  45 0.445 21.724 703.437
  46 0.455 21.434 699.741
  47 0.465 21.43 682.987
  48 0.475 21.344 704.026
  49 0.485 20.438 714.409
  50 0.495 19.394 720.635
  51 0.505 18.954 736.933
  52 0.515 20.212 734.596
  53 0.525 21.046 764.821
  54 0.535 21.352 722.474
  55 0.545 21.596 771.931
  56 0.555 21.568 764.391
  57 0.565 21.81 755.266
  58 0.575 21.94 676.781
  59 0.585 21.972 641.421
  60 0.595 21.738 676.18
  61 0.605 20.796 702.381
  62 0.615 19.832 704.974
  63 0.625 19.37 703.608
  64 0.635 20.686 687.984
  65 0.645 21.69 679.917
  66 0.655 21.894 683.019
  67 0.665 21.976 652.351
  68 0.675 21.846 669.438
  69 0.685 21.554 691.624
  70 0.695 21.58 665.033
  71 0.705 21.39 680.584
  72 0.715 21.408 664.137
  73 0.725 20.632 642.462
  74 0.735 19.252 627.585
  75 0.745 18.702 645.172
  76 0.755 20.008 630.683
  77 0.765 21.442 591.534
  78 0.775 21.674 567.663
  79 0.785 21.382 587.794
  80 0.795 21.424 612.947
  81 0.805 21.822 631.035
  82 0.815 21.936 609.987
  83 0.825 21.976 604.254
  84 0.835 21.986 571.993
  85 0.845 21.666 557.458
  86 0.855 20.726 545.471
  87 0.865 19.206 554.718
  88 0.875 19.606 553.921
