#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 203500      3.56e-01    5.67e-01      3.14e-03    3.35e-04      6.82e-02    1.22e-01      1.00e-02    6.38e-03    1.9e-05
 204000      3.64e-01    3.94e-01      4.94e-03    6.28e-03      6.88e-02    6.64e-02      1.10e-02    1.68e-02    1.9e-05
 204500      4.78e-01    4.32e-01      3.44e-03    2.32e-03      9.73e-02    9.14e-02      1.16e-02    7.39e-03    1.9e-05
 205000      3.29e-01    3.63e-01      1.56e-03    1.58e-03      6.27e-02    6.18e-02      1.13e-02    1.71e-02    1.9e-05
 205500      3.28e-01    4.35e-01      2.32e-03    2.33e-03      5.91e-02    8.74e-02      1.22e-02    1.24e-02    1.9e-05
 206000      2.65e-01    4.25e-01      4.69e-03    4.22e-03      4.49e-02    8.19e-02      9.36e-03    1.39e-02    1.9e-05
 206500      3.47e-01    5.81e-01      3.32e-03    4.87e-03      6.59e-02    1.19e-01      1.04e-02    1.36e-02    1.9e-05
 207000      2.91e-01    4.29e-01      1.70e-03    5.44e-04      5.01e-02    9.03e-02      1.29e-02    8.67e-03    1.9e-05
 207500      4.63e-01    5.27e-01      6.14e-03    5.92e-03      9.29e-02    1.07e-01      9.21e-03    1.19e-02    1.9e-05
 208000      2.73e-01    1.11e-01      7.69e-04    2.95e-04      5.50e-02    2.15e-02      7.24e-03    3.86e-03    1.9e-05
 208500      4.29e-01    2.06e-01      6.07e-03    6.23e-03      7.92e-02    2.53e-02      1.28e-02    9.52e-03    1.9e-05
 209000      4.75e-01    3.63e-01      4.04e-03    1.79e-03      9.60e-02    7.07e-02      1.21e-02    1.22e-02    1.9e-05
 209500      3.51e-01    4.10e-01      4.83e-03    2.75e-03      6.25e-02    8.61e-02      1.35e-02    7.44e-03    1.9e-05
 210000      4.12e-01    3.06e-01      3.10e-03    2.65e-03      7.01e-02    6.48e-02      1.70e-02    4.08e-03    1.9e-05
 210500      4.89e-01    5.39e-01      4.43e-03    3.63e-03      8.69e-02    8.54e-02      1.74e-02    2.77e-02    1.9e-05
 211000      3.82e-01    2.78e-01      3.31e-03    4.22e-03      7.37e-02    5.13e-02      1.20e-02    9.56e-03    1.9e-05
 211500      5.04e-01    5.86e-01      5.18e-03    1.81e-04      9.64e-02    1.24e-01      1.60e-02    1.16e-02    1.9e-05
 212000      2.90e-01    2.41e-01      3.46e-03    3.35e-03      5.30e-02    3.64e-02      1.05e-02    1.23e-02    1.9e-05
 212500      4.09e-01    2.52e-01      1.13e-03    1.19e-03      8.23e-02    4.13e-02      1.08e-02    1.26e-02    1.9e-05
 213000      4.62e-01    3.20e-01      1.11e-03    5.48e-04      9.44e-02    5.96e-02      1.08e-02    1.27e-02    1.9e-05
 213500      3.36e-01    4.26e-01      4.79e-03    4.33e-03      6.42e-02    6.63e-02      9.63e-03    2.19e-02    1.9e-05
 214000      3.62e-01    1.85e-01      5.93e-04    1.24e-03      6.86e-02    2.48e-02      1.27e-02    1.09e-02    1.9e-05
 214500      3.72e-01    1.91e-01      2.32e-03    2.01e-03      7.10e-02    1.84e-02      1.25e-02    1.28e-02    1.9e-05
 215000      3.52e-01    1.64e-01      1.21e-03    1.70e-04      6.29e-02    2.21e-02      1.40e-02    9.78e-03    1.9e-05
 215500      4.60e-01    6.36e-01      1.70e-03    2.64e-04      7.13e-02    1.29e-01      2.10e-02    1.77e-02    1.9e-05
 216000      4.54e-01    6.06e-01      1.58e-03    1.05e-03      9.25e-02    1.25e-01      1.12e-02    1.52e-02    1.9e-05
 216500      4.21e-01    1.49e-01      8.70e-04    1.06e-03      8.34e-02    3.10e-02      1.05e-02    3.13e-03    1.9e-05
 217000      3.42e-01    5.01e-01      8.02e-04    2.43e-03      6.85e-02    1.04e-01      9.36e-03    1.09e-02    1.9e-05
 217500      4.15e-01    5.20e-01      9.52e-04    7.10e-04      6.58e-02    6.34e-02      1.94e-02    3.28e-02    1.9e-05
 218000      3.01e-01    4.45e-01      1.98e-03    5.45e-04      5.18e-02    9.39e-02      1.21e-02    8.57e-03    1.9e-05
 218500      3.64e-01    3.75e-01      2.00e-03    1.82e-04      6.98e-02    7.47e-02      1.15e-02    1.16e-02    1.9e-05
 219000      4.08e-01    5.37e-01      2.31e-03    4.30e-03      7.83e-02    1.15e-01      1.25e-02    5.42e-03    1.9e-05
 219500      3.79e-01    4.69e-01      5.44e-03    3.72e-03      7.06e-02    9.33e-02      1.13e-02    1.36e-02    1.9e-05
 220000      4.80e-01    2.86e-01      1.43e-03    2.05e-03      9.88e-02    5.97e-02      1.18e-02    5.53e-03    1.9e-05
 220500      3.43e-01    4.87e-01      1.83e-03    3.87e-04      6.47e-02    1.03e-01      1.25e-02    8.75e-03    1.9e-05
 221000      3.44e-01    5.90e-01      2.44e-03    5.69e-04      6.75e-02    1.23e-01      1.03e-02    1.29e-02    1.9e-05
 221500      3.69e-01    4.93e-01      1.10e-03    2.85e-03      7.60e-02    1.03e-01      8.46e-03    1.02e-02    1.9e-05
 222000      3.56e-01    1.36e-01      9.18e-04    2.70e-03      7.45e-02    2.53e-02      7.42e-03    3.78e-03    1.9e-05
 222500      3.03e-01    2.72e-01      5.60e-04    1.35e-04      6.05e-02    4.85e-02      9.01e-03    1.19e-02    1.9e-05
 223000      4.22e-01    1.30e-01      1.70e-03    2.12e-03      8.09e-02    2.53e-02      1.39e-02    3.41e-03    1.9e-05
 223500      3.94e-01    5.26e-01      2.29e-03    2.07e-03      7.03e-02    1.06e-01      1.47e-02    1.54e-02    1.9e-05
 224000      3.48e-01    6.15e-01      6.14e-03    8.05e-03      6.03e-02    1.26e-01      1.18e-02    1.17e-02    1.9e-05
 224500      3.45e-01    5.65e-01      7.12e-04    2.53e-03      6.74e-02    1.15e-01      1.03e-02    1.48e-02    1.9e-05
 225000      4.01e-01    1.79e-01      9.74e-04    7.60e-04      8.51e-02    3.65e-02      6.85e-03    4.78e-03    1.9e-05
 225500      4.25e-01    5.53e-01      1.41e-03    3.43e-03      8.73e-02    1.07e-01      1.04e-02    1.88e-02    1.9e-05
 226000      3.05e-01    3.48e-01      1.84e-03    1.50e-03      5.86e-02    5.18e-02      9.31e-03    1.93e-02    1.9e-05
 226500      2.93e-01    2.64e-01      2.44e-03    4.34e-03      4.92e-02    3.60e-02      1.19e-02    1.44e-02    1.9e-05
 227000      3.71e-01    7.01e-01      3.63e-03    1.25e-03      7.43e-02    1.37e-01      8.97e-03    2.40e-02    1.9e-05
 227500      3.88e-01    4.99e-01      5.88e-03    6.24e-03      7.63e-02    9.63e-02      7.25e-03    1.54e-02    1.9e-05
 228000      2.10e-01    2.76e-01      2.91e-03    3.63e-03      3.25e-02    5.53e-02      9.86e-03    6.64e-03    1.9e-05
 228500      5.39e-01    3.59e-01      1.29e-03    5.08e-04      1.03e-01    7.44e-02      1.86e-02    8.49e-03    1.9e-05
 229000      3.71e-01    5.76e-01      3.93e-03    4.00e-03      7.20e-02    1.23e-01      1.09e-02    7.97e-03    1.9e-05
 229500      4.27e-01    5.70e-01      1.15e-03    1.38e-03      8.98e-02    1.19e-01      7.77e-03    1.23e-02    1.9e-05
 230000      3.12e-01    5.58e-01      1.25e-03    2.19e-03      5.63e-02    1.15e-01      1.13e-02    1.34e-02    1.9e-05
 230500      3.69e-01    3.66e-01      3.57e-03    3.45e-03      7.01e-02    7.28e-02      1.26e-02    1.04e-02    1.9e-05
 231000      4.86e-01    3.22e-01      1.41e-03    2.85e-03      9.09e-02    5.27e-02      1.77e-02    1.57e-02    1.9e-05
 231500      1.90e-01    5.40e-01      1.18e-03    1.65e-03      3.53e-02    1.07e-01      5.65e-03    1.71e-02    1.9e-05
 232000      3.30e-01    5.67e-01      6.75e-04    2.19e-03      6.80e-02    1.22e-01      7.99e-03    6.81e-03    1.9e-05
 232500      3.10e-01    4.93e-01      1.36e-03    1.54e-04      6.09e-02    1.02e-01      9.42e-03    1.24e-02    1.9e-05
 233000      2.72e-01    1.72e-01      3.43e-03    4.62e-03      4.92e-02    3.10e-02      8.39e-03    3.48e-03    1.9e-05
 233500      4.29e-01    3.08e-01      6.60e-03    6.75e-03      8.24e-02    5.65e-02      1.20e-02    8.45e-03    1.9e-05
 234000      3.59e-01    4.97e-01      4.49e-03    1.30e-03      7.13e-02    1.03e-01      8.97e-03    1.19e-02    1.9e-05
 234500      3.79e-01    3.23e-01      8.76e-04    4.19e-04      6.82e-02    6.30e-02      1.48e-02    1.10e-02    1.9e-05
 235000      3.48e-01    2.49e-01      1.67e-03    9.43e-04      6.17e-02    4.09e-02      1.23e-02    1.23e-02    1.9e-05
 235500      4.99e-01    4.33e-01      2.14e-03    1.32e-03      1.03e-01    8.49e-02      1.15e-02    1.44e-02    1.9e-05
 236000      4.30e-01    5.79e-01      8.79e-04    3.25e-04      8.95e-02    1.20e-01      8.90e-03    1.39e-02    1.9e-05
 236500      3.77e-01    3.35e-01      6.08e-03    6.59e-03      7.20e-02    3.69e-02      9.95e-03    1.99e-02    1.9e-05
 237000      4.41e-01    1.55e-01      2.57e-03    1.30e-03      9.01e-02    2.25e-02      1.04e-02    8.65e-03    1.9e-05
 237500      2.46e-01    4.28e-01      1.90e-03    1.09e-03      4.86e-02    8.60e-02      7.45e-03    1.26e-02    1.9e-05
 238000      4.30e-01    2.80e-01      2.21e-03    4.23e-03      8.61e-02    4.26e-02      1.19e-02    1.40e-02    1.9e-05
 238500      3.02e-01    2.02e-01      2.57e-03    3.11e-03      5.70e-02    3.61e-02      8.97e-03    7.61e-03    1.9e-05
 239000      3.81e-01    4.17e-01      1.59e-03    7.43e-04      7.17e-02    8.39e-02      1.34e-02    1.22e-02    1.9e-05
 239500      3.11e-01    1.23e-01      8.13e-04    1.33e-03      5.91e-02    2.30e-02      1.11e-02    4.46e-03    1.9e-05
 240000      3.68e-01    1.30e-01      4.50e-04    1.07e-03      6.72e-02    2.09e-02      1.36e-02    6.56e-03    1.9e-05
 240500      2.89e-01    3.33e-01      2.05e-03    2.74e-03      5.29e-02    6.92e-02      1.09e-02    6.81e-03    1.9e-05
 241000      4.57e-01    4.54e-01      1.16e-03    2.83e-03      9.08e-02    9.72e-02      1.39e-02    5.52e-03    1.9e-05
 241500      3.30e-01    4.79e-01      2.16e-03    4.20e-03      6.18e-02    9.53e-02      1.10e-02    1.37e-02    1.9e-05
 242000      4.30e-01    3.05e-01      5.85e-03    3.69e-03      7.97e-02    5.44e-02      1.42e-02    1.24e-02    1.9e-05
 242500      3.86e-01    2.46e-01      1.46e-03    7.15e-04      7.81e-02    4.03e-02      1.00e-02    1.23e-02    1.9e-05
 243000      3.69e-01    1.38e-01      3.92e-03    1.73e-03      7.35e-02    1.73e-02      9.31e-03    8.26e-03    1.9e-05
 243500      2.55e-01    3.35e-01      5.34e-03    6.86e-03      4.05e-02    6.49e-02      9.32e-03    6.68e-03    1.9e-05
 244000      3.39e-01    4.99e-01      1.25e-03    2.84e-03      6.97e-02    9.45e-02      7.89e-03    1.85e-02    1.9e-05
 244500      3.07e-01    3.77e-01      3.69e-03    3.06e-03      5.56e-02    7.80e-02      8.97e-03    8.21e-03    1.9e-05
 245000      3.05e-01    4.88e-01      1.13e-03    1.86e-03      6.35e-02    1.04e-01      5.45e-03    7.63e-03    1.9e-05
 245500      4.24e-01    3.40e-01      8.99e-03    8.75e-03      7.92e-02    4.82e-02      9.03e-03    1.53e-02    1.9e-05
 246000      5.07e-01    1.82e-01      7.56e-04    2.80e-04      9.68e-02    2.18e-02      1.81e-02    1.16e-02    1.9e-05
 246500      3.91e-01    5.08e-01      2.32e-03    2.08e-03      7.10e-02    1.03e-01      1.35e-02    1.36e-02    1.9e-05
 247000      2.70e-01    4.15e-01      1.81e-03    1.85e-03      5.24e-02    8.58e-02      7.94e-03    9.72e-03    1.9e-05
 247500      3.83e-01    5.50e-01      1.29e-03    3.05e-03      7.69e-02    1.15e-01      1.10e-02    1.17e-02    1.9e-05
 248000      4.68e-01    3.32e-01      8.71e-03    8.28e-03      9.05e-02    5.93e-02      8.92e-03    8.57e-03    1.9e-05
 248500      3.95e-01    4.83e-01      3.22e-03    3.63e-03      7.60e-02    9.91e-02      1.22e-02    1.14e-02    1.9e-05
 249000      3.65e-01    6.91e-02      7.90e-04    1.23e-03      7.42e-02    1.01e-02      9.28e-03    3.48e-03    1.9e-05
 249500      2.80e-01    3.27e-01      9.81e-04    1.40e-03      5.72e-02    6.40e-02      6.90e-03    1.08e-02    1.9e-05
 250000      2.29e-01    3.09e-01      2.07e-03    7.18e-05      6.11e-02    4.90e-02      8.40e-03    2.05e-02    7.1e-06
 250500      3.13e-01    1.31e-01      1.07e-03    8.16e-04      9.10e-02    2.98e-02      9.14e-03    7.11e-03    7.1e-06
 251000      2.50e-01    3.64e-01      2.53e-03    2.09e-03      7.39e-02    1.16e-01      7.43e-03    7.64e-03    7.1e-06
 251500      2.81e-01    3.30e-01      3.61e-03    4.92e-03      7.60e-02    9.63e-02      1.05e-02    9.66e-03    7.1e-06
 252000      2.11e-01    1.39e-01      9.50e-04    9.06e-05      4.51e-02    2.96e-02      1.19e-02    8.11e-03    7.1e-06
 252500      2.74e-01    1.36e-01      1.74e-03    1.55e-03      7.28e-02    3.99e-02      1.15e-02    4.24e-03    7.1e-06
 253000      2.06e-01    3.65e-01      8.12e-04    3.02e-03      5.61e-02    9.70e-02      6.85e-03    1.61e-02    7.1e-06
 253500      2.71e-01    2.06e-01      2.35e-03    2.05e-03      6.55e-02    4.22e-02      1.23e-02    1.19e-02    7.1e-06
 254000      2.03e-01    3.68e-01      1.02e-03    8.20e-04      4.30e-02    6.24e-02      8.99e-03    2.39e-02    7.1e-06
 254500      2.58e-01    3.51e-01      2.23e-03    2.18e-03      7.99e-02    9.23e-02      5.68e-03    1.60e-02    7.1e-06
 255000      3.04e-01    1.33e-01      8.38e-04    6.46e-04      7.70e-02    3.35e-02      1.42e-02    6.45e-03    7.1e-06
 255500      1.68e-01    4.38e-01      4.70e-04    1.12e-03      4.70e-02    1.02e-01      6.65e-03    2.36e-02    7.1e-06
 256000      2.85e-01    1.10e-01      6.92e-04    1.73e-04      8.58e-02    1.81e-02      8.88e-03    7.24e-03    7.1e-06
 256500      2.52e-01    2.09e-01      2.83e-03    8.41e-04      7.00e-02    6.20e-02      7.88e-03    7.03e-03    7.1e-06
 257000      3.72e-01    3.23e-01      2.74e-03    1.90e-03      1.11e-01    9.87e-02      1.12e-02    9.25e-03    7.1e-06
 257500      1.85e-01    2.21e-01      4.03e-04    1.46e-03      4.35e-02    3.75e-02      9.26e-03    1.42e-02    7.1e-06
 258000      2.62e-01    2.64e-01      1.16e-03    3.66e-03      6.11e-02    7.54e-02      1.36e-02    8.80e-03    7.1e-06
 258500      2.39e-01    2.58e-01      1.63e-03    1.55e-03      6.52e-02    5.38e-02      8.85e-03    1.50e-02    7.1e-06
 259000      2.55e-01    2.06e-01      4.37e-03    5.49e-03      5.86e-02    4.96e-02      1.13e-02    7.37e-03    7.1e-06
 259500      2.11e-01    2.21e-01      2.37e-03    4.20e-04      5.02e-02    5.83e-02      9.30e-03    1.02e-02    7.1e-06
 260000      2.07e-01    2.28e-01      5.37e-04    2.87e-06      5.23e-02    4.90e-02      9.88e-03    1.31e-02    7.1e-06
 260500      2.38e-01    3.13e-01      4.35e-03    4.82e-03      5.52e-02    6.01e-02      9.90e-03    1.81e-02    7.1e-06
 261000      3.27e-01    3.79e-01      1.64e-03    3.97e-04      9.00e-02    9.41e-02      1.25e-02    1.90e-02    7.1e-06
 261500      3.23e-01    3.06e-01      1.88e-03    1.57e-03      9.08e-02    9.26e-02      1.13e-02    9.27e-03    7.1e-06
 262000      2.58e-01    3.66e-01      5.36e-04    6.18e-04      7.30e-02    6.18e-02      9.21e-03    2.38e-02    7.1e-06
 262500      1.68e-01    2.74e-01      4.39e-04    2.42e-04      4.13e-02    7.56e-02      8.28e-03    1.15e-02    7.1e-06
 263000      2.36e-01    3.17e-01      1.44e-03    2.28e-03      6.11e-02    9.55e-02      9.39e-03    9.59e-03    7.1e-06
 263500      1.97e-01    4.24e-01      1.78e-03    2.86e-03      5.62e-02    1.31e-01      7.12e-03    1.13e-02    7.1e-06
 264000      2.91e-01    3.38e-01      1.26e-03    4.98e-04      7.90e-02    1.03e-01      1.17e-02    9.95e-03    7.1e-06
 264500      3.33e-01    1.52e-01      2.33e-03    1.41e-03      9.20e-02    3.55e-02      1.29e-02    7.94e-03    7.1e-06
 265000      2.78e-01    1.96e-01      1.96e-03    1.38e-03      7.80e-02    5.90e-02      1.00e-02    6.02e-03    7.1e-06
 265500      3.46e-01    2.99e-01      8.35e-04    2.78e-03      9.55e-02    9.07e-02      1.32e-02    8.34e-03    7.1e-06
 266000      2.70e-01    2.42e-01      1.14e-03    3.41e-04      6.80e-02    6.61e-02      1.29e-02    1.04e-02    7.1e-06
 266500      2.28e-01    1.38e-01      1.26e-03    1.33e-03      5.58e-02    3.90e-02      1.11e-02    5.23e-03    7.1e-06
 267000      2.62e-01    2.96e-01      6.43e-04    1.99e-04      6.06e-02    7.27e-02      1.33e-02    1.50e-02    7.1e-06
 267500      2.90e-01    1.08e-01      1.10e-03    7.96e-04      8.55e-02    2.60e-02      9.71e-03    5.51e-03    7.1e-06
 268000      3.23e-01    4.32e-01      2.90e-03    2.08e-04      8.69e-02    9.85e-02      1.28e-02    2.37e-02    7.1e-06
 268500      2.43e-01    1.73e-01      5.57e-04    1.05e-03      6.34e-02    4.28e-02      1.03e-02    8.67e-03    7.1e-06
 269000      2.86e-01    3.41e-01      7.80e-04    1.33e-03      8.51e-02    9.80e-02      9.24e-03    1.28e-02    7.1e-06
 269500      2.67e-01    3.35e-01      2.68e-03    3.06e-03      7.67e-02    9.31e-02      7.72e-03    1.31e-02    7.1e-06
 270000      3.75e-01    3.18e-01      4.97e-03    6.39e-03      1.06e-01    6.64e-02      1.19e-02    1.64e-02    7.1e-06
 270500      2.31e-01    2.21e-01      8.35e-04    1.31e-03      4.41e-02    5.12e-02      1.25e-02    1.19e-02    7.1e-06
 271000      2.70e-01    2.29e-01      1.68e-03    2.66e-03      7.82e-02    3.72e-02      8.99e-03    1.46e-02    7.1e-06
 271500      2.27e-01    3.93e-01      2.22e-03    2.41e-03      4.85e-02    1.27e-01      1.03e-02    6.04e-03    7.1e-06
 272000      3.11e-01    3.54e-01      1.63e-03    1.24e-03      8.18e-02    9.55e-02      1.27e-02    1.55e-02    7.1e-06
 272500      3.52e-01    4.36e-01      1.90e-03    1.77e-03      7.97e-02    1.26e-01      1.79e-02    1.59e-02    7.1e-06
 273000      2.87e-01    1.38e-01      3.62e-03    3.31e-03      8.26e-02    2.40e-02      8.98e-03    7.62e-03    7.1e-06
 273500      2.91e-01    1.63e-01      4.07e-03    3.48e-03      8.20e-02    4.29e-02      1.00e-02    5.75e-03    7.1e-06
 274000      2.33e-01    2.40e-01      5.39e-04    7.93e-04      5.46e-02    6.96e-02      1.19e-02    8.77e-03    7.1e-06
 274500      1.89e-01    8.03e-02      4.58e-04    2.23e-04      5.19e-02    2.29e-02      7.70e-03    3.10e-03    7.1e-06
 275000      2.77e-01    3.71e-01      1.17e-03    1.14e-03      7.80e-02    9.49e-02      1.02e-02    1.79e-02    7.1e-06
 275500      2.16e-01    1.83e-01      1.46e-03    2.38e-03      6.11e-02    5.64e-02      8.07e-03    3.92e-03    7.1e-06
 276000      2.07e-01    2.97e-01      4.15e-04    1.97e-03      6.03e-02    9.19e-02      7.49e-03    7.62e-03    7.1e-06
 276500      3.72e-01    1.84e-01      1.78e-03    2.65e-03      9.58e-02    4.96e-02      1.72e-02    7.20e-03    7.1e-06
 277000      2.45e-01    3.00e-01      6.78e-04    6.07e-04      6.14e-02    9.66e-02      1.17e-02    5.67e-03    7.1e-06
 277500      2.96e-01    3.22e-01      3.48e-04    1.03e-03      7.69e-02    8.20e-02      1.30e-02    1.55e-02    7.1e-06
 278000      3.02e-01    3.20e-01      2.10e-03    1.97e-03      7.73e-02    8.94e-02      1.19e-02    1.28e-02    7.1e-06
 278500      2.94e-01    3.12e-01      2.07e-03    1.84e-03      8.52e-02    1.00e-01      1.01e-02    5.78e-03    7.1e-06
 279000      2.67e-01    1.60e-01      1.84e-03    3.81e-03      7.13e-02    3.99e-02      1.08e-02    5.92e-03    7.1e-06
 279500      2.68e-01    3.82e-01      1.21e-03    1.28e-03      5.36e-02    1.17e-01      1.46e-02    1.09e-02    7.1e-06
 280000      2.11e-01    1.80e-01      1.29e-03    3.99e-04      5.01e-02    5.08e-02      1.01e-02    7.19e-03    7.1e-06
 280500      2.28e-01    2.88e-01      6.16e-04    1.22e-04      6.59e-02    8.70e-02      8.02e-03    9.04e-03    7.1e-06
 281000      2.48e-01    2.65e-01      4.61e-04    4.63e-04      5.58e-02    5.38e-02      1.31e-02    1.58e-02    7.1e-06
 281500      1.97e-01    2.74e-01      2.93e-03    3.80e-03      5.22e-02    7.84e-02      7.25e-03    9.13e-03    7.1e-06
 282000      3.38e-01    3.54e-01      7.46e-04    1.35e-03      9.69e-02    1.05e-01      1.18e-02    1.17e-02    7.1e-06
 282500      2.26e-01    1.33e-01      1.33e-03    4.69e-04      6.41e-02    3.72e-02      8.56e-03    5.42e-03    7.1e-06
 283000      2.95e-01    3.23e-01      1.09e-03    6.00e-04      7.79e-02    9.54e-02      1.22e-02    1.11e-02    7.1e-06
 283500      2.45e-01    1.49e-01      9.90e-04    1.17e-03      5.56e-02    3.61e-02      1.30e-02    7.49e-03    7.1e-06
 284000      2.41e-01    3.37e-01      2.10e-03    3.40e-03      4.98e-02    8.64e-02      1.13e-02    1.55e-02    7.1e-06
 284500      2.83e-01    1.68e-01      1.35e-03    1.40e-03      8.13e-02    2.81e-02      9.63e-03    1.08e-02    7.1e-06
 285000      2.47e-01    2.44e-01      3.13e-03    8.88e-04      6.30e-02    8.03e-02      1.05e-02    1.94e-03    7.1e-06
 285500      3.24e-01    1.96e-01      2.90e-03    3.64e-03      8.75e-02    5.14e-02      1.28e-02    7.54e-03    7.1e-06
 286000      2.55e-01    4.18e-01      6.69e-04    1.31e-03      6.26e-02    1.14e-01      1.28e-02    1.80e-02    7.1e-06
 286500      3.27e-01    9.27e-02      2.89e-03    1.65e-03      7.49e-02    9.35e-03      1.67e-02    6.26e-03    7.1e-06
 287000      2.43e-01    3.17e-01      1.42e-03    2.50e-03      6.06e-02    9.40e-02      1.14e-02    1.02e-02    7.1e-06
 287500      2.39e-01    2.69e-01      1.48e-03    9.00e-05      6.04e-02    8.63e-02      1.09e-02    5.19e-03    7.1e-06
 288000      3.06e-01    2.37e-01      1.81e-03    1.54e-03      8.51e-02    6.08e-02      1.19e-02    1.12e-02    7.1e-06
 288500      3.30e-01    7.06e-02      1.28e-03    6.02e-05      9.70e-02    1.04e-02      1.09e-02    4.79e-03    7.1e-06
 289000      3.29e-01    2.04e-01      6.57e-04    1.10e-03      8.16e-02    5.77e-02      1.52e-02    8.00e-03    7.1e-06
 289500      2.95e-01    3.19e-01      2.09e-03    2.18e-03      7.85e-02    9.85e-02      1.29e-02    8.38e-03    7.1e-06
 290000      2.63e-01    1.85e-01      1.40e-03    4.77e-04      6.94e-02    5.09e-02      1.15e-02    7.88e-03    7.1e-06
 290500      2.55e-01    2.05e-01      8.14e-04    1.55e-03      6.92e-02    5.58e-02      1.07e-02    8.61e-03    7.1e-06
 291000      2.93e-01    2.90e-01      1.89e-03    2.28e-03      8.21e-02    7.83e-02      1.13e-02    1.24e-02    7.1e-06
 291500      3.21e-01    2.38e-01      3.05e-03    4.03e-03      8.88e-02    6.50e-02      1.19e-02    8.49e-03    7.1e-06
 292000      3.39e-01    9.34e-02      1.30e-03    2.21e-03      8.50e-02    2.29e-02      1.45e-02    3.62e-03    7.1e-06
 292500      1.51e-01    2.46e-01      3.60e-03    4.64e-03      2.90e-02    5.48e-02      6.81e-03    1.21e-02    7.1e-06
 293000      2.50e-01    3.26e-01      1.70e-03    3.75e-04      7.53e-02    9.77e-02      7.12e-03    1.06e-02    7.1e-06
 293500      1.94e-01    1.64e-01      2.80e-03    1.03e-03      5.08e-02    4.36e-02      6.93e-03    7.29e-03    7.1e-06
 294000      2.76e-01    1.03e-01      1.44e-03    1.24e-03      7.51e-02    2.39e-02      1.08e-02    5.32e-03    7.1e-06
 294500      1.84e-01    2.02e-01      2.32e-03    1.79e-03      4.09e-02    6.35e-02      8.61e-03    4.31e-03    7.1e-06
 295000      2.63e-01    2.97e-01      7.60e-04    1.47e-03      6.72e-02    9.39e-02      1.10e-02    6.52e-03    7.1e-06
 295500      2.97e-01    3.13e-01      2.78e-03    2.82e-03      7.94e-02    8.83e-02      1.17e-02    1.18e-02    7.1e-06
 296000      3.31e-01    3.85e-01      1.05e-03    4.78e-03      8.87e-02    1.22e-01      1.35e-02    5.15e-03    7.1e-06
 296500      2.72e-01    2.46e-01      1.83e-03    3.82e-03      7.53e-02    5.54e-02      1.07e-02    1.26e-02    7.1e-06
 297000      2.58e-01    2.95e-01      1.67e-03    2.94e-03      5.79e-02    9.06e-02      1.35e-02    7.51e-03    7.1e-06
 297500      2.46e-01    3.28e-01      2.98e-04    6.73e-05      7.42e-02    1.01e-01      7.77e-03    9.29e-03    7.1e-06
 298000      3.00e-01    4.20e-01      2.81e-04    9.34e-04      8.37e-02    1.10e-01      1.14e-02    1.96e-02    7.1e-06
 298500      2.79e-01    3.87e-01      7.22e-04    1.15e-03      7.16e-02    9.95e-02      1.31e-02    1.85e-02    7.1e-06
 299000      2.12e-01    4.49e-01      1.96e-03    8.50e-04      6.01e-02    1.17e-01      7.66e-03    2.11e-02    7.1e-06
 299500      2.48e-01    3.59e-01      3.47e-03    3.09e-03      6.90e-02    1.05e-01      7.21e-03    1.23e-02    7.1e-06
 300000      1.93e-01    1.98e-01      9.46e-04    1.69e-05      5.39e-02    5.24e-02      1.12e-02    1.23e-02    2.6e-06
 300500      2.33e-01    2.02e-01      1.01e-03    7.28e-04      5.71e-02    6.76e-02      1.48e-02    1.05e-02    2.6e-06
 301000      2.54e-01    1.69e-01      9.45e-04    1.21e-03      7.94e-02    6.08e-02      1.35e-02    7.86e-03    2.6e-06
 301500      2.56e-01    1.95e-01      6.62e-04    8.72e-04      8.17e-02    7.82e-02      1.32e-02    7.27e-03    2.6e-06
 302000      1.61e-01    5.54e-02      6.32e-04    6.63e-05      6.01e-02    1.65e-02      6.01e-03    3.20e-03    2.6e-06
 302500      1.76e-01    1.36e-01      6.01e-04    1.30e-03      5.89e-02    2.61e-02      8.84e-03    9.15e-03    2.6e-06
 303000      2.16e-01    3.27e-01      2.19e-03    1.69e-03      6.94e-02    1.21e-01      1.08e-02    1.47e-02    2.6e-06
 303500      2.05e-01    1.49e-01      9.20e-04    1.74e-03      5.93e-02    1.61e-02      1.16e-02    1.06e-02    2.6e-06
 304000      1.68e-01    1.83e-01      1.02e-03    4.63e-04      5.45e-02    7.70e-02      8.45e-03    5.91e-03    2.6e-06
 304500      2.40e-01    1.78e-01      7.86e-04    1.44e-03      9.45e-02    6.07e-02      9.52e-03    8.86e-03    2.6e-06
 305000      1.86e-01    2.39e-01      7.29e-04    3.98e-04      6.07e-02    8.98e-02      9.00e-03    1.06e-02    2.6e-06
 305500      1.94e-01    2.24e-01      1.10e-03    1.37e-03      6.02e-02    6.71e-02      1.06e-02    1.27e-02    2.6e-06
 306000      2.61e-01    1.70e-01      1.70e-03    1.45e-03      8.04e-02    4.39e-02      1.41e-02    1.04e-02    2.6e-06
 306500      2.01e-01    6.51e-02      1.14e-03    1.63e-04      7.27e-02    1.03e-02      9.33e-03    4.61e-03    2.6e-06
