#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  33500      2.65e+00    2.14e+00      7.41e-02    7.89e-02      8.38e-02    6.74e-02      2.13e-02    2.37e-02    1.0e-03
  34000      3.56e+00    4.36e+00      4.23e-02    3.28e-02      1.13e-01    1.38e-01      2.47e-02    6.00e-02    1.0e-03
  34500      3.65e+00    2.41e+00      1.69e-01    1.46e-01      1.15e-01    7.57e-02      5.50e-02    1.19e-01    1.0e-03
  35000      4.17e+00    1.90e+00      8.71e-02    6.74e-02      1.32e-01    5.99e-02      4.16e-02    7.97e-02    1.0e-03
  35500      2.80e+00    3.99e+00      1.92e-01    1.98e-01      8.78e-02    1.26e-01      1.22e-02    2.16e-02    1.0e-03
  36000      3.56e+00    4.57e+00      1.52e-01    1.57e-01      1.12e-01    1.44e-01      3.14e-02    8.47e-02    1.0e-03
  36500      1.94e+00    4.15e+00      1.11e-02    1.21e-02      6.11e-02    1.31e-01      1.07e-01    1.17e-01    1.0e-03
  37000      3.31e+00    3.71e+00      1.33e-02    9.92e-03      1.04e-01    1.17e-01      7.50e-02    8.69e-02    1.0e-03
  37500      1.92e+00    3.88e+00      9.01e-02    8.70e-02      6.02e-02    1.23e-01      8.45e-02    7.94e-02    1.0e-03
  38000      2.49e+00    3.36e+00      8.30e-02    9.21e-02      7.85e-02    1.06e-01      8.79e-02    6.43e-02    1.0e-03
  38500      3.61e+00    2.92e+00      1.60e-01    1.69e-01      1.14e-01    9.16e-02      5.06e-02    1.39e-02    1.0e-03
  39000      3.13e+00    8.68e-01      4.37e-02    2.89e-02      9.89e-02    2.73e-02      9.65e-02    6.40e-02    1.0e-03
  39500      3.52e+00    3.08e+00      8.07e-02    9.49e-02      1.11e-01    9.71e-02      6.06e-02    4.55e-02    1.0e-03
  40000      2.74e+00    3.37e+00      1.77e-01    1.85e-01      8.57e-02    1.06e-01      8.56e-02    7.56e-02    1.0e-03
  40500      2.85e+00    4.29e+00      1.17e-01    8.66e-02      8.99e-02    1.35e-01      2.27e-02    7.93e-02    1.0e-03
  41000      2.78e+00    1.39e+00      9.52e-02    9.30e-02      8.76e-02    4.37e-02      3.42e-02    3.38e-02    1.0e-03
  41500      2.76e+00    1.33e+00      2.24e-02    1.87e-02      8.72e-02    4.21e-02      1.84e-02    5.69e-03    1.0e-03
  42000      3.80e+00    2.66e+00      1.70e-02    1.26e-02      1.20e-01    8.40e-02      2.25e-02    1.47e-02    1.0e-03
  42500      2.69e+00    3.93e+00      1.03e-01    1.07e-01      8.45e-02    1.24e-01      4.12e-02    5.50e-02    1.0e-03
  43000      2.52e+00    2.43e+00      3.53e-02    3.80e-02      7.96e-02    7.68e-02      2.94e-02    4.88e-02    1.0e-03
  43500      4.45e+00    3.58e+00      1.45e-01    1.44e-01      1.40e-01    1.13e-01      1.43e-01    1.33e-01    1.0e-03
  44000      2.92e+00    4.60e+00      4.94e-02    3.33e-02      9.22e-02    1.45e-01      4.54e-02    8.80e-02    1.0e-03
  44500      2.80e+00    3.80e+00      5.53e-02    4.36e-02      8.85e-02    1.20e-01      1.84e-02    2.00e-02    1.0e-03
  45000      4.10e+00    2.26e+00      2.09e-02    2.04e-02      1.30e-01    7.15e-02      2.79e-02    2.21e-02    1.0e-03
  45500      1.68e+00    4.53e+00      1.56e-02    2.35e-03      5.32e-02    1.43e-01      6.72e-02    1.13e-01    1.0e-03
  46000      2.68e+00    3.47e+00      1.49e-01    1.53e-01      8.41e-02    1.09e-01      9.63e-02    1.26e-01    1.0e-03
  46500      3.22e+00    4.97e+00      1.34e-01    1.29e-01      1.02e-01    1.57e-01      2.32e-02    2.32e-02    1.0e-03
  47000      3.21e+00    3.89e+00      1.41e-01    1.48e-01      1.01e-01    1.23e-01      8.35e-02    1.00e-01    1.0e-03
  47500      3.26e+00    2.88e+00      8.08e-03    1.25e-02      1.03e-01    9.12e-02      2.71e-02    1.53e-02    1.0e-03
